"","Genes","median","high","max","nintynine","five","min","low","Mean","Genes","median","high","max","nintynine","five","min","low","Mean"
"1","Canx",23.5758678953861,36.5290409188795,27.0483197994987,26.0671177937022,20.6743551482963,18.7775322734538,10.7499884510664,23.5411444205569,"Canx",23.5758678953861,36.5290409188792,27.0483197994987,26.0671177937022,20.6743551482963,18.7775322734538,10.7499884510667,23.5411444205569
"2","Dnajc5",96.5747350877193,133.43992391975,115.432933333333,105.200211960132,87.895757540218,67.7586,59.8861850463,96.5281815293697,"Dnajc5",96.5747350877193,133.43992391975,115.432933333333,105.200211960132,87.895757540218,67.7586,59.8861850463,96.5281815293697
"3","Egfr",154.619452784254,232.652868010159,188.595243974359,170.285193975345,125.528938538959,111.696026153846,74.6541329916988,152.418150267936,"Egfr",154.619452784254,232.652868010156,188.595243974359,170.285193975345,125.52893853896,111.696026153846,74.654132991702,152.418150267936
"4","Errfi1",174.500630903194,281.215395436894,280.168121176471,197.12578781825,133.338187727273,121.173079310345,66.0449964937122,172.558064907419,"Errfi1",174.500630903194,281.215395436897,280.168121176471,197.12578781825,133.338187727272,121.173079310345,66.0449964937102,172.558064907419
"5","Gapdh",163.72791587273,228.69964436136,198.117028489484,178.113076816444,151.251323813918,142.164954054054,98.313376421553,164.019719760172,"Gapdh",163.72791587273,228.69964436136,198.117028489484,178.113076816444,151.251323813918,142.164954054054,98.3133764215533,164.019719760172
"6","Kpnb1",153.985449235474,223.686048187445,1059.21405641026,172.121673703625,129.188242030361,115.214664383562,86.4095477306218,156.683970808987,"Kpnb1",153.967410934872,223.588444498791,187.897096551724,171.884722381797,129.182169710626,115.214664383562,86.4836673706449,153.96550669573
"7","Myc2",98.9238120746759,139.747716173337,132.11765472822,108.852665292752,63.8321519057377,58.9628625668449,57.405396144607,95.187583282706,"Myc2",98.9238120746759,139.747716173338,132.11765472822,108.852665292751,63.8321519057377,58.9628625668449,57.4053961446066,95.187583282706
"8","Nras",95.2060409376523,133.81604498861,113.629664795918,105.642164343584,88.0048702934662,84.4574624242424,57.3717955444015,95.787121840482,"Nras",95.2060409376523,133.81604498861,113.629664795918,105.642164343584,88.0048702934662,84.4574624242424,57.3717955444015,95.787121840482
"9","P53",84.3446574074074,135.3180331532,250.324906060606,98.6680844283723,75.3768967203095,63.46295925925,35.4033960330488,86.1595876990824,"P53",84.3426324537037,135.344384138495,123.339742307692,98.5935498554753,75.3703910958978,63.46295925925,35.338689110778,85.6300221559807
"10","Rab7a",140.29727490133,195.343780158008,166.371889196676,155.39856375639,130.575747946503,124.130809364548,86.1858031420142,140.951731975265,"Rab7a",140.29727490133,195.34378015801,166.371889196676,155.39856375639,130.575747946502,124.130809364548,86.1858031420129,140.951731975265
"11","RhoA",28.5310078657542,52.2968431706752,40.559550683149,34.2405411544154,24.6807191279596,17.8783145360825,5.22403256422909,28.9157192359503,"RhoA",28.5310078657541,52.2968431706749,40.559550683149,34.2405411544153,24.6807191279596,17.8783145360825,5.22403256422939,28.9157192359503
"12","Rpap3",21.9502809134615,30.2960205161664,26.9291698412698,24.2816246734928,20.3501688376824,13.9426057198,13.533530420365,21.9973286713794,"Rpap3",21.9502809134615,30.2960205161662,26.9291698412698,24.2816246734928,20.3501688376825,13.9426057198,13.5335304203652,21.9973286713794
"13","Sec16a",14.1893861446528,17.272933492646,15.5931757809984,14.9373738971005,13.5577053849062,13.2702389975022,11.2108908471896,14.2394360527476,"Sec16a",14.1893861446529,17.2729334926462,15.5931757809984,14.9373738971005,13.5577053849062,13.2702389975022,11.2108908471894,14.2394360527476
"14","Slc2a1",25.5705653030303,38.7774344290047,31.0303089806678,28.2522242271949,19.8697357867293,17.2324906046407,12.1657127753541,25.1472011305352,"Slc2a1",25.5705653030303,38.7774344290047,31.0303089806678,28.2522242271949,19.8697357867293,17.2324906046407,12.1657127753541,25.1472011305352
