"","WellName","Canx","Dnajc5","Egfr","Errfi1","Gapdh","Kpnb1","Myc","Nras","P53","Rab7a","Rpap3","RhoA","Sec16a","Slc2a1"
"1","A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","E12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","F12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","H12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","I12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","J12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","K12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","L12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","M12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","N12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","O12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","P12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","M15",22.6604078935185,96.8137204840876,168.59199321663,173.623341978022,167.376268119266,147.168518815331,94.8090371693122,93.7160989795918,83.7838860805857,141.235246336634,22.0271195266272,23.3814456990774,13.4807401111333,24.8240853598015
"18","M16",21.3519153932584,97.4596739130435,165.837620117187,171.505003703704,160.543229014085,153.949372634271,94.9641531806616,94.0897117346939,83.9307068376154,144.500744680851,21.7214819047619,24.5352510583658,14.4451675680783,25.7508717777778
"19","M17",22.6248311620795,90.2453847826087,167.637460344828,159.245230027548,174.057806986028,157.769636190476,98.8049857482185,95.6711935114504,83.260562666668,137.629785145889,19.9413030612245,26.3802239912281,14.6671149019608,25.6875063559322
"20","M18",22.7593722955145,97.2997823529412,156.753166666667,169.858991545189,163.483496363636,159.66777033195,98.8561643221203,89.6260597560976,83.8937702381167,141.58087196468,20.5669381065089,25.290039140573,14.1222907482648,24.7582173960613
"21","M19",21.7464156345471,93.3046605263158,156.400698617512,184.243654570637,181.493038446215,152.050968378378,97.2928171650718,93.0498963709677,82.1317361111111,144.535356521739,20.5487945283019,23.4631688333333,13.7383345967742,25.6448895115681
"22","M20",21.2305614285714,93.038276,157.144676693227,192.18022394015,163.877438287154,152.005311055276,96.3753842519685,99.5142741035857,78.381106370372,146.734097336562,20.6443777143525,25.17920276875,13.9804857692308,24.8094052752294
"23","M21",20.7489253559322,86.6818916666667,170.417080888889,176.174280383795,170.423221428571,164.665154101996,99.6702276563677,99.8284974358974,75.0134249398773,136.467000309598,20.4258505952381,23.6677812288136,14.2582324113475,25.0402828395062
"24","M22",19.7585513821137,NA,151.352237959184,183.560575100402,168.920503641457,151.041681481481,97.7289025157233,91.8761989189189,79.237796969697,148.722196577017,20.1342204651163,23.6583754114159,13.5280837764209,24.2615770961145
"25","N15",22.3036279800499,97.9968900763359,159.409728636364,178.614069668246,164.149269655172,152.713006476684,100.236381268012,92.7833313304721,83.1725285714286,141.193140229885,21.0591926174497,26.6706888888889,13.8058450920245,24.8766063989637
"26","N16",22.1900876501305,93.4185571428571,155.810638674033,180.348455555556,164.199757723577,158.761379424779,98.3457188413098,90.5565488262911,87.1763025641026,138.143280227273,20.4582417582418,25.9130229353234,13.5811286908764,25.4204694402036
"27","N17",23.1390101736111,91.3225369369369,156.950144622426,172.598654982818,162.229436074271,159.602085744235,102.244554617834,95.8424254464286,79.3421457142857,135.803746557377,21.4410242424242,26.174100324172,13.9573068041237,25.2080951807229
"28","N18",23.3903064650284,92.9782769230769,157.201060153257,174.119569966997,168.012675545852,166.592836653386,100.708840937829,92.0891816568047,80.0584666666667,141.605314936709,22.4559469512195,24.2769315196078,14.0294385315904,24.2861475288684
