"","Genes","median","high","max","nintynine","five","min","low","Mean","Genes","median","high","max","nintynine","five","min","low","Mean"
"1","Canx",20.7461795222319,40.119610238241,31.0250370243494,25.1100769508988,11.8302300328267,10.0792867503619,0.898787491950429,20.0667597266946,"Canx",20.7461795222319,40.119610238241,31.0250370243494,25.1100769508988,11.8302300328267,10.0792867503619,0.898787491950429,20.0667597266946
"2","Dnajc5",10.1113632899304,27.9821333518947,57.8675968430305,13.4092000842172,5.66094238705241,2.82103913789002,-8.09475355145328,10.0230407231553,"Dnajc5",10.0935524921352,27.8007940243089,16.4217438023355,13.3955273763745,5.65944407772408,2.82103913789002,-7.94915656590166,9.88022115264819
"3","Egfr",66.2107748658985,171.572458827311,177.850518301244,100.164408406224,41.2206077643044,2.91133232288084,-35.9982488493471,68.9876985240157,"Egfr",66.2107748658985,171.572458827311,177.850518301244,100.164408406224,41.2206077643044,2.91133232288084,-35.9982488493471,68.9876985240157
"4","Errfi1",20.109067908433,71.981308306955,488.228601613273,36.3259232486401,10.5250832734062,3.77950775864193,-30.3830307399347,23.7507827832109,"Errfi1",19.9509399528061,70.7068697739326,68.3617902435293,34.9421414727948,10.5075318780624,3.77950775864193,-29.3794362240183,21.1860642714942
"5","Gapdh",25.8825070613021,72.9218709860898,258.957703248929,103.237672826364,18.0972550706546,7.84925548275351,-19.3803927775284,35.3834201128946,"Gapdh",25.8825070613021,72.9218709860898,258.957703248929,103.237672826364,18.0972550706546,7.84925548275351,-19.3803927775284,35.3834201128946
"6","Kpnb1",11.3615134531153,31.5760395203865,32.1979466134706,16.3925283854321,5.08259492550593,2.60298913197166,-8.45414196041826,11.4393967264323,"Kpnb1",11.3615134531153,31.5760395203865,32.1979466134706,16.3925283854321,5.08259492550593,2.60298913197166,-8.45414196041826,11.4393967264323
"7","Myc",21.1257065586477,60.1521422214738,248.617820795597,31.1665994865171,9.51414059499548,4.0194563186271,-18.7637461348496,21.6456513668287,"Myc",21.1121479487337,60.0474818631135,47.1554901199538,31.0390657893886,9.50653583868804,4.0194563186271,-18.7378731224567,20.9681225028622
"8","NRAS",4.45899441957781,13.4242161615939,1104.93932013616,6.64539969748625,2.60575063836437,0.405677999684992,-4.42451884779324,7.85397680833391,"Nras",4.45554192049093,13.2871503406407,12.8575790600231,6.60399354525273,2.59815186084862,0.405677999684992,-4.31423506069296,4.56929015166377
"9","P53",8.42059423855187,28.3673011674028,20.9767940801708,14.0202419223795,4.38738573749872,2.14899991772384,-10.6961323364758,8.82547242769946,"P53",8.42059423855187,28.3673011674028,20.9767940801708,14.0202419223795,4.38738573749872,2.14899991772384,-10.6961323364758,8.82547242769946
"10","Rab7a",32.4922380400424,77.4804312468526,1568.20875320845,45.1540229582601,22.0990733967574,12.4741783986337,-12.5811361531263,38.176803017917,"Rab7a",32.4472247463888,76.9903267027507,65.7286632345318,43.1678931644826,22.0979812972957,12.4741783986337,-12.2005465008306,32.5158310974635
"11","RhoA",10.7086348443232,19.6610861443993,21.887804688864,13.122602574644,8.52716010514771,6.25132599857815,1.7955509677353,10.7868267499364,"RhoA",10.7074380388738,19.5185808497971,18.5364484262318,12.9589647860738,8.5261235938337,6.25132599857815,1.91415716762904,10.7491963162451
"12","Rpap3",7.465725635513,17.1945932887476,290.219986460672,10.4674409917778,5.26579558650879,3.19542497218506,-2.18253119442043,8.69792052291091,"Rpap3",7.4467203423775,16.87213498855,15.5509723292056,10.1971927343424,5.26310550213896,3.19542497218506,-1.93450273169007,7.52415202424044
"13","Sec16a",6.6137138925686,19.5339302321123,202.914086581058,9.90247181233929,4.31159175010336,3.14464181573822,-6.21280189559249,7.79754732541214,"Sec16a",6.58552771296956,19.3699272306554,12.1944717590262,9.66409301513992,4.31044055060958,3.14464181573822,-6.08172964681381,6.67075092482999
"14","Slc2a1",34.8483504198292,93.1494372743777,275.497129574729,48.9298829100312,19.7531099445969,12.1338516303132,-23.0107533172093,35.644867380088,"Slc2a1",34.8368555692053,93.1010040591165,70.3050953568442,48.4351312863791,19.7480928610249,12.1338516303132,-23.0318412860815,34.9202381891676
