"","Mean_Untreated_het","Median_Untreated_het","SD_Untreated_Het"
"Canx",22.0107689551125,22.0645886258391,1.8320259123777
"Dnajc5",10.0713368874524,9.82475914910601,1.58739330019414
"Egfr",67.7810267015275,64.1975492204918,22.2133020461854
"Errfi1",23.7575721048191,22.3713793748793,8.00429797216863
"Gapdh",26.7084168635475,26.4215850612738,4.76854204459133
"Kpnb1",12.0560484584972,11.0452004785183,3.64401929091682
"Myc",22.5716736823013,22.0880548681294,6.02480514388154
"Nras",4.8368004540036,4.60654557841865,1.58052702863692
"P53",8.6793190097606,8.29276562099552,2.58691483667292
"Rab7a",33.6363796806668,33.3272403868268,4.11779692254862
"Rpap3",7.83541992765092,7.985284547791,1.41041010871061
"RhoA",10.6658480468442,11.0213167892195,1.1660902013192
"Sec16a",7.09157648965467,7.20774924090374,1.58130887700707
"Slc2a1",35.537924510324,36.2090559246315,5.38066294344885
